id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds,team_id
881,Eddie,,,Jones,,LAL,,14
882,Dickey,,,Simpkins,,CHI,,5
883,Eric,,,Piatkowski,,LAC,,13
884,Lamond,,,Murray,,LAC,,13
885,Matt,,,Fish,,LAC,,13
886,Aaron,,,McKie,,POR,,25
887,Eric,,,Montross,,BOS,,2
888,Fred,,,Vinson,,ATL,,1
889,Tom,,,Hovasse,,ATL,,1
890,Jamie,,,Watson,,UTA,,29
891,Khalid,,,Reeves,,MIA,,16
892,Brian,,,Grant,,SAC,,26
893,Henry,,,Turner,,SAC,,26
894,Michael,,,Smith,,SAC,,26
895,Antonio,,,Lang,,PHX,,24
896,Wesley,,,Person,,PHX,,24
897,B.J.,,,Tyler,,PHI,,23
898,Derrick,,,Alston,,PHI,,23
899,Sharone,,,Wright,,PHI,,23
900,Eric,,,Mobley,,MIL,,17
901,Darrin,,,Hancock,,CHA,,4
902,Bill,,,Curley,,DET,,9
903,Anthony,,,Tucker,,WAS,,30
904,Tim,,,Breaux,,HOU,,11
905,Zan,,,Tabak,,HOU,,11
906,Brooks,,,Thompson,,ORL,,22
907,Glenn,,,Robinson,,MIL,,17
908,Jason,,,Kidd,,DAL,,7
909,Tony,,,Dumas,,DAL,,7
910,Monty,,,Williams,,NYK,,20
911,Carlos,,,Rogers,,GSW,,10
912,Sergei,,,Bazarevich,,ATL,,1
913,Julius,,,Nwosu,,SAS,,27
914,Trevor,,,Ruffin,,PHX,,24
915,Yinka,,,Dare,,BKN,,3
916,Greg,,,Minor,,BOS,,2
917,Clifford,,,Rozier,,GSW,,10
918,Charlie,,,Ward,,NYK,,20
919,Dontonio,,,Wingfield,,OKC,,21
920,Aaron,,,Swinson,,PHX,,24
921,Jim,,,McIlvaine,,WAS,,30
922,Juwan,,,Howard,,WAS,,30
923,James,,,Blackwell,,CHA,,4
924,Ivano,,,Newbill,,DET,,9
925,Dwayne,,,Morton,,GSW,,10
926,Chris,,,Childs,,BKN,,3
927,Ryan,,,Lorthridge,,GSW,,10
928,Elmer,,,Bennett,,CLE,,6
929,Darrick,,,Martin,,MIN,,18
930,Jerome,,,Harmon,,PHI,,23
